Author,Closeness centrality
R Steinbeck,0.0
X Zhang,0.021739130434782608
Z Fu,0.021739130434782608
M Kurosu,0.043478260869565216
C Boks,0.043478260869565216
A Navabi,0.043478260869565216
T Yamanaka,0.043478260869565216
CS De Souza,0.043478260869565216
CF Leitao,0.043478260869565216
B Aryana,0.043478260869565216
A Hashizume,0.043478260869565216
LC De Castro Salgado,0.043478260869565216
JW Rosenboom,0.08695652173913043
T Baker,0.08695652173913043
C Jacks,0.08695652173913043
K Phyrum,0.08695652173913043
M Roberts,0.08695652173913043
SE Ross,0.13043478260869565
CA Lee,0.13043478260869565
CA Darr,0.13043478260869565
SA Linnebur,0.13043478260869565
JM Ruscin,0.13043478260869565
KA Siek,0.13043478260869565
LM Haverhals,0.13043478260869565
E Johnson,0.13844393592677345
C Putnam,0.13844393592677345
A Bayor,0.1461352657004831
T Gorman,0.1461352657004831
J Yaaqoubi,0.1461352657004831
R Anderson,0.15473145780051153
A Hope,0.15473145780051153
W Brunette,0.15473145780051153
G Ruddy,0.15473145780051153
M Hicks,0.15473145780051153
E Rose,0.1644021739130435
L Pecchia,0.21739130434782608
D Koutsouris,0.21739130434782608
R Tranfaglia,0.21739130434782608
K Perakis,0.21739130434782608
G Konnis,0.21739130434782608
E Kyriacou,0.21739130434782608
C Pattichis,0.21739130434782608
A Androulidakis,0.21739130434782608
SG Mougiakakou,0.21739130434782608
U Bracale,0.21739130434782608
H Papadopoulos,0.21739130434782608
B Kolko,0.2391304347826087
