Country,Number of Mentions as Place of Work
NG,1
MY,4
EG,1
CN,4
MW,1
MN,1
ID,1
ES,1
KZ,4
KE,5
UG,6
East Africa,1
GB,1
AE,1
KH,1
BR,4
RW,2
KG,7
UZ,4
AU,1
NL,1
NA,1
SE,2
CO,2
IN,9
CH,1
US,13
CD,1
GH,1
Laos,1
IT,1
GR,1
TH,2
ZA,6
Middle East,1
PE,1
LK,1
CY,1
TJ,4
BW,1
PK,2
IR,2
ET,1
TZ,1
JP,2
PY,1
BD,1
TR,1
