Country,Number of Mentions as Place of Work
MW,1
KZ,4
CY,1
BD,1
BW,1
UG,6
NL,1
East Africa,1
NG,1
KG,7
LK,1
PY,1
US,13
ES,1
GB,1
AE,1
RW,2
IT,1
TJ,4
TH,2
IN,9
CD,1
PK,2
TR,1
EG,1
MN,1
AU,1
ET,1
GR,1
KE,5
CO,2
BR,4
TZ,1
NA,1
ID,1
MY,4
ZA,6
CN,4
CH,1
KH,1
UZ,4
SE,2
JP,2
PE,1
Laos,1
GH,1
IR,2
Middle East,1
