Country,Number of First Authors,Number of Other Authors
SG,1,0
GB,4,2
DE,2,2
JP,2,3
EG,1,0
CO,1,0
BD,1,1
IN,1,8
KP,1,2
BR,2,6
ET,1,2
CH,2,1
GR,1,5
US,39,96
NO,2,2
n/a,1,16
CA,1,0
MY,4,9
IT,1,7
CN,2,2
TW,1,0
TH,1,6
ES,1,3
KE,1,8
ZA,5,10
BW,1,0
SE,2,5
AU,3,5
NL,3,8
AE,1,2
UG,0,3
DK,0,1
CY,0,2
KH,0,1
IL,0,1
FR,0,1
IE,0,1
NZ,0,1
