Author,Clustering Coefficient
J Wesson,0.0
M Bhattacharya,0.0
L Barnard,0.0
KL Kumar,0.0
JS Sandhu,0.4
C Pulkate,1.0
H Zhang,1.0
W Fungladda,1.0
M Kam,1.0
C Lohachit,1.0
C Newman,1.0
P Altankhuyag,1.0
S Sriboorapa,1.0
A Lindgren,1.0
F Chen,1.0
N Poosanthanasarn,1.0
J Hey,1.0
D Amarsaikhan,1.0
X Hua,1.0
PW Jordan,1.0
A Tibuzzi,1.0
AM Agogino,1.0
