Pairs of publishing authors and their number of publications: 
KL Kumar, M Bhattacharya 1
A Lindgren, F Chen 1
PW Jordan, H Zhang 1
F Chen, H Zhang 1
J Hey, C Newman 1
W Fungladda, C Pulkate 1
C Newman, AM Agogino 1
J Hey, AM Agogino 1
C Lohachit, C Pulkate 1
S Sriboorapa, C Pulkate 1
P Altankhuyag, D Amarsaikhan 1
N Poosanthanasarn, C Lohachit 1
C Lohachit, W Fungladda 1
N Poosanthanasarn, W Fungladda 1
F Chen, PW Jordan 1
M Kam, X Hua 1
A Tibuzzi, X Hua 1
N Poosanthanasarn, C Pulkate 1
JS Sandhu, P Altankhuyag 1
JS Sandhu, C Newman 1
N Poosanthanasarn, S Sriboorapa 1
C Lohachit, S Sriboorapa 1
M Kam, A Tibuzzi 1
JS Sandhu, D Amarsaikhan 1
L Barnard, J Wesson 1
JS Sandhu, AM Agogino 1
W Fungladda, S Sriboorapa 1
JS Sandhu, J Hey 1
A Lindgren, H Zhang 1
A Lindgren, PW Jordan 1
