Author,Closeness centrality
R Steinbeck,0.0
NLA Alvarez,0.0
K Pecknold,0.0
Z Ying,0.0
K Yamazaki,0.005291005291005291
X Zhang,0.005291005291005291
S Bucolo,0.005291005291005291
J Spencer,0.005291005291005291
E Krahmer,0.005291005291005291
D Lilley,0.005291005291005291
JH Matthews,0.005291005291005291
Z Fu,0.005291005291005291
L Barnard,0.005291005291005291
S Shahid,0.005291005291005291
S Nagarkar,0.005291005291005291
J Matovu,0.005291005291005291
KL Kumar,0.005291005291005291
M Bhattacharya,0.005291005291005291
R Hinman,0.005291005291005291
K Asano,0.005291005291005291
R Rege,0.005291005291005291
J Wesson,0.005291005291005291
M Kam,0.010582010582010581
M Yunus,0.010582010582010581
B Aryana,0.010582010582010581
J Huang,0.010582010582010581
H Knoche,0.010582010582010581
PRS Rao,0.010582010582010581
A Puckett,0.010582010582010581
NLM Noor,0.010582010582010581
A Kavanaugh,0.010582010582010581
C Boks,0.010582010582010581
X Hua,0.010582010582010581
M Al Blushi,0.010582010582010581
E Lesueur,0.010582010582010581
F Kamoun,0.010582010582010581
WARWM Isa,0.010582010582010581
A Navabi,0.010582010582010581
T Sibieude,0.010582010582010581
A Hashizume,0.010582010582010581
T Yamanaka,0.010582010582010581
CS De Souza,0.010582010582010581
CF Leitao,0.010582010582010581
S Mehad,0.010582010582010581
M Kurosu,0.010582010582010581
LC De Castro Salgado,0.010582010582010581
A Tibuzzi,0.010582010582010581
N Werghi,0.010582010582010581
D Tatar,0.010582010582010581
E Seman,0.011904761904761904
AW Yeo,0.011904761904761904
F Chen,0.015873015873015872
E Stolterman,0.015873015873015872
G Ho,0.015873015873015872
A Lindgren,0.015873015873015872
R Holland,0.015873015873015872
H Pettersson,0.015873015873015872
J Pinfold,0.015873015873015872
M Mahmud,0.015873015873015872
P Cole,0.015873015873015872
B Ariyatum,0.015873015873015872
PW Jordan,0.015873015873015872
P Sirisalee,0.015873015873015872
H Zhang,0.015873015873015872
M Anda,0.015873015873015872
T Mullaney,0.015873015873015872
T Nyholm,0.015873015873015872
D Prommin,0.015873015873015872
I Hussein,0.015873015873015872
D Amarsaikhan,0.016534391534391533
P Altankhuyag,0.016534391534391533
P Chininthorn,0.01889644746787604
A Freudenthal,0.01889644746787604
MB Parker,0.01889644746787604
AM Agogino,0.01889644746787604
J Hey,0.01889644746787604
C Newman,0.01889644746787604
MB Motlhabi,0.01889644746787604
N Poosanthanasarn,0.021164021164021163
G Vitiello,0.021164021164021163
JW Rosenboom,0.021164021164021163
M Roberts,0.021164021164021163
S Sriboorapa,0.021164021164021163
T Baker,0.021164021164021163
M Sebillo,0.021164021164021163
C Lohachit,0.021164021164021163
K Phyrum,0.021164021164021163
M Romano,0.021164021164021163
KK Mathias,0.021164021164021163
A Dekhtyar,0.021164021164021163
G Tortora,0.021164021164021163
C Jacks,0.021164021164021163
P Di Giovanni,0.021164021164021163
C Pulkate,0.021164021164021163
C Isenhour,0.021164021164021163
J Goldsmith,0.021164021164021163
B Goldstein,0.021164021164021163
W Fungladda,0.021164021164021163
DA Nelson,0.026455026455026454
K Weldemariam,0.026455026455026454
S Ahmed,0.026455026455026454
S Opel,0.026455026455026454
A Villafiorita,0.026455026455026454
PA Biedrzycki,0.026455026455026454
S Hailemariam,0.026455026455026454
A Zewge,0.026455026455026454
WD Tucker,0.026455026455026454
Z Franco,0.026455026455026454
JS Sandhu,0.026455026455026454
A Susi,0.026455026455026454
MG Sandy,0.026455026455026454
M Belachew,0.026455026455026454
M Glaser,0.026455026455026454
CA Lee,0.031746031746031744
SA Linnebur,0.031746031746031744
CA Darr,0.031746031746031744
JM Ruscin,0.031746031746031744
LM Haverhals,0.031746031746031744
SE Ross,0.031746031746031744
KA Siek,0.031746031746031744
J Zhang,0.037037037037037035
HC Comijs,0.037037037037037035
HPJ van Hout,0.037037037037037035
A Joshi,0.037037037037037035
C Jonker,0.037037037037037035
APD Jansen,0.037037037037037035
E Derksen,0.037037037037037035
HG van der Roest,0.037037037037037035
CE Hsu,0.037037037037037035
S Iyengar,0.037037037037037035
R Vogler,0.037037037037037035
M de Araujo Novaes,0.037037037037037035
C Johnson,0.037037037037037035
J Machiavelli,0.037037037037037035
RM Droes,0.037037037037037035
FJM Meiland,0.037037037037037035
E Blank,0.042328042328042326
S Kimaiyo,0.042328042328042326
R Vedanthan,0.042328042328042326
C Hutchinson,0.042328042328042326
N Tuikong,0.042328042328042326
M Were,0.042328042328042326
V Fuster,0.042328042328042326
J Kamano,0.042328042328042326
L Misoi,0.042328042328042326
H Papadopoulos,0.05291005291005291
U Bracale,0.05291005291005291
R Tranfaglia,0.05291005291005291
SG Mougiakakou,0.05291005291005291
L Pecchia,0.05291005291005291
K Perakis,0.05291005291005291
G Konnis,0.05291005291005291
E Kyriacou,0.05291005291005291
A Androulidakis,0.05291005291005291
D Koutsouris,0.05291005291005291
C Pattichis,0.05291005291005291
B DeRenzi,0.05940108001963672
K Israel-Ballard,0.07293550331525014
A Coutsoudis,0.07293550331525014
R Chaudhri,0.07293550331525014
N Perin,0.07293550331525014
P Reimers,0.07293550331525014
D Vlachos,0.07293550331525014
ML Best,0.08115358819584172
D Thakur,0.08115358819584172
O Salikhbaeva,0.08115358819584172
A Seidakmatova,0.08350586611456176
C Driesbach,0.08350586611456176
A Bayor,0.08350586611456176
T Gorman,0.08350586611456176
E Johnson,0.08350586611456176
C Putnam,0.08473389355742296
K Saville,0.08473389355742296
G Ruddy,0.08473389355742296
J Yaaqoubi,0.08599857853589196
L Schlenke,0.08864468864468864
R Walton,0.08864468864468864
J Keh,0.08864468864468864
E Rose,0.08864468864468864
M Kawooya,0.0900297619047619
M Ishimitsu,0.0993431855500821
P Prasad,0.0993431855500821
M Hicks,0.1010860484544695
R Nathan,0.10476190476190475
R Anderson,0.10670194003527338
W Gerard,0.10670194003527338
W Brunette,0.1087151841868823
A Hope,0.1087151841868823
G Borriello,0.11080586080586079
B Kolko,0.14404761904761904
