Author,Closeness centrality
Z Ying,0.0
J Matovu,0.045454545454545456
JH Matthews,0.045454545454545456
R Rege,0.045454545454545456
R Hinman,0.045454545454545456
S Bucolo,0.045454545454545456
S Nagarkar,0.045454545454545456
N Werghi,0.09090909090909091
F Kamoun,0.09090909090909091
AW Yeo,0.09090909090909091
M Al Blushi,0.09090909090909091
M Mahmud,0.09090909090909091
I Hussein,0.09090909090909091
M Ishimitsu,0.4090909090909091
G Borriello,0.4090909090909091
P Prasad,0.4090909090909091
W Gerard,0.4090909090909091
A Hope,0.4090909090909091
B Kolko,0.4090909090909091
M Hicks,0.4090909090909091
R Anderson,0.4090909090909091
R Nathan,0.4090909090909091
W Brunette,0.4090909090909091
