Author,Clustering Coefficient
J Matovu,0.0
JH Matthews,0.0
Z Ying,0.0
R Rege,0.0
R Hinman,0.0
S Bucolo,0.0
S Nagarkar,0.0
N Werghi,1.0
F Kamoun,1.0
M Ishimitsu,1.0
AW Yeo,1.0
G Borriello,1.0
P Prasad,1.0
W Gerard,1.0
A Hope,1.0
M Al Blushi,1.0
B Kolko,1.0
M Hicks,1.0
R Anderson,1.0
R Nathan,1.0
M Mahmud,1.0
I Hussein,1.0
W Brunette,1.0
