Author,Degrees,,
K Pecknold,0,,
R Steinbeck,0,,
NLA Alvarez,0,,
Z Ying,0,,
E Krahmer,1,,
R Hinman,1,,
D Lilley,1,,
J Spencer,1,,4.628930818
L Barnard,1,,
M Bhattacharya,1,,
Z Fu,1,,
B DeRenzi,1,,
R Rege,1,,
S Shahid,1,,
J Matovu,1,,
S Bucolo,1,,
JH Matthews,1,,
KL Kumar,1,,
S Nagarkar,1,,
J Wesson,1,,
X Zhang,1,,
N Werghi,2,,
PRS Rao,2,,
B Aryana,2,,
P Altankhuyag,2,,
E Seman,2,,
T Sibieude,2,,
M Al Blushi,2,,
M Yunus,2,,
E Lesueur,2,,
O Salikhbaeva,2,,
A Hashizume,2,,
NLM Noor,2,,
D Amarsaikhan,2,,
C Boks,2,,
S Mehad,2,,
ML Best,2,,
F Kamoun,2,,
X Hua,2,,
H Knoche,2,,
J Huang,2,,
T Yamanaka,2,,
A Tibuzzi,2,,
CS De Souza,2,,
AW Yeo,2,,
M Kam,2,,
WARWM Isa,2,,
CF Leitao,2,,
LC De Castro Salgado,2,,
M Kurosu,2,,
D Thakur,2,,
A Navabi,2,,
E Stolterman,3,,
P Chininthorn,3,,
PW Jordan,3,,
R Holland,3,,
H Pettersson,3,,
A Lindgren,3,,
AM Agogino,3,,
M Glaser,3,,
I Hussein,3,,
A Seidakmatova,3,,
C Driesbach,3,,
J Hey,3,,
H Zhang,3,,
P Sirisalee,3,,
T Mullaney,3,,
D Prommin,3,,
C Newman,3,,
M Mahmud,3,,
T Nyholm,3,,
F Chen,3,,
B Ariyatum,3,,
A Freudenthal,3,,
WD Tucker,3,,
C Jacks,4,,
T Gorman,4,,
JW Rosenboom,4,,
KK Mathias,4,,
C Isenhour,4,,
C Lohachit,4,,
C Pulkate,4,,
W Fungladda,4,,
N Poosanthanasarn,4,,
E Johnson,4,,
S Sriboorapa,4,,
T Baker,4,,
B Goldstein,4,,
J Goldsmith,4,,
C Putnam,4,,
A Dekhtyar,4,,
M Roberts,4,,
K Phyrum,4,,
A Bayor,4,,
A Zewge,5,,
G Ruddy,5,,
M Belachew,5,,
A Susi,5,,
J Yaaqoubi,5,,
K Weldemariam,5,,
PA Biedrzycki,5,,
A Villafiorita,5,,
JS Sandhu,5,,
S Ahmed,5,,
MG Sandy,5,,
DA Nelson,5,,
Z Franco,5,,
S Opel,5,,
S Hailemariam,5,,
K Saville,5,,
KA Siek,6,,
SA Linnebur,6,,
CA Darr,6,,
JM Ruscin,6,,
LM Haverhals,6,,
SE Ross,6,,
CA Lee,6,,
HG van der Roest,7,,
A Joshi,7,,
C Johnson,7,,
M de Araujo Novaes,7,,
C Jonker,7,,
E Rose,7,,
J Machiavelli,7,,
E Derksen,7,,
FJM Meiland,7,,
HC Comijs,7,,
HPJ van Hout,7,,
APD Jansen,7,,
RM Droes,7,,
J Zhang,7,,
R Vogler,7,,
CE Hsu,7,,
S Iyengar,7,,
R Walton,7,,
J Keh,8,,
L Schlenke,8,,
M Ishimitsu,9,,
P Prasad,9,,
M Kawooya,9,,
G Borriello,9,,
C Pattichis,10,,
SG Mougiakakou,10,,
K Perakis,10,,
E Kyriacou,10,,
M Hicks,10,,
U Bracale,10,,
D Koutsouris,10,,
A Androulidakis,10,,
G Konnis,10,,
R Tranfaglia,10,,
H Papadopoulos,10,,
L Pecchia,10,,
R Nathan,12,,
R Anderson,13,,
W Gerard,13,,
A Hope,14,,
W Brunette,14,,
B Kolko,26,,
