Author,Betweenness Centrality
C Lohachit,0.0
P Altankhuyag,0.0
A Tibuzzi,0.0
L Barnard,0.0
X Hua,0.0
M Kam,0.0
J Hey,0.0
J Wesson,0.0
KL Kumar,0.0
W Fungladda,0.0
AM Agogino,0.0
S Sriboorapa,0.0
D Amarsaikhan,0.0
C Pulkate,0.0
C Newman,0.0
N Poosanthanasarn,0.0
M Bhattacharya,0.0
JS Sandhu,0.044117647058823525
