Country,Number of Mentions as Place of Work
UZ,4
BR,4
TR,1
BD,1
PK,2
CY,1
IN,7
ES,1
TJ,4
MN,1
JP,2
Laos,1
KH,1
BW,1
NA,1
PE,1
East Africa,1
LK,1
MW,1
TH,2
KZ,4
ET,1
EG,1
RW,2
GR,1
IR,2
CD,1
AU,1
US,12
NL,1
ZA,6
KG,7
PY,1
AE,1
TZ,1
UG,6
IT,1
GH,1
GB,1
SE,2
CH,1
KE,4
MY,4
CN,4
CO,2
ID,1
Middle East,1
