Country,Number of First Authors,Number of Other Authors
US,40,96
ES,1,3
TH,1,6
CN,2,2
EG,1,0
NL,3,8
SE,2,5
GB,4,2
CO,1,0
NO,2,1
KE,1,8
BW,1,0
BD,1,1
JP,2,3
IN,1,8
TW,1,0
IT,1,7
DE,2,2
CH,2,1
SG,1,0
KP,1,2
CA,1,0
AU,3,5
MY,4,9
ZA,5,10
AE,1,2
ET,1,2
BR,2,6
GR,1,5
CY,0,2
IE,0,1
n/a,0,16
FR,0,1
UG,0,3
KH,0,1
IL,0,1
NO. DK,0,1
NZ,0,1
