Author,Closeness centrality
A Kumar,0.043478260869565216
H Tawfik,0.043478260869565216
C Le Dantec,0.043478260869565216
O Anya,0.043478260869565216
S Fox,0.043478260869565216
S Maskara,0.043478260869565216
D Modi,0.2608695652173913
G Desai,0.2608695652173913
S Shah,0.2608695652173913
S Desai,0.2608695652173913
P Shah,0.2608695652173913
R Gopalan,0.2608695652173913
S Venkatraman,0.2608695652173913
V Fuster,0.43478260869565216
S Kimaiyo,0.43478260869565216
D Tulienge,0.43478260869565216
M Were,0.43478260869565216
R Vedanthan,0.43478260869565216
N Tuikong,0.43478260869565216
J Kamano,0.43478260869565216
C Hutchinson,0.43478260869565216
L Misoi,0.43478260869565216
E Blank,0.43478260869565216
D Ascheim,0.43478260869565216
